date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:42	316431/316431	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202024%2011:51:41%20GMT	https://wisdom-ships.b12sites.com/index	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/index.html	(from )
12:51:42	51/51	---M--	200	added ('OK')	text/plain	date:Wed,%2005%20Jun%202024%2011:51:42%20GMT	https://wisdom-ships.b12sites.com/robots.txt		(from )
12:51:43	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:43%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.2.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:43	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/Wisdomships/code.jquery.com/jquery-3.3.1.min.js	(from https://wisdom-ships.b12sites.com/index)
12:51:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:44%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-400.4.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:44	5532/5532	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Jun%202024%2011:51:44%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	(from https://wisdom-ships.b12sites.com/index)
12:51:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:45%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.6.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:45	7900/7900	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Jun%202024%2011:51:45%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	(from https://wisdom-ships.b12sites.com/index)
12:51:46	5472/5472	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Jun%202024%2011:51:46%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	(from https://wisdom-ships.b12sites.com/index)
12:51:46	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:46%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-500.8.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:47	7740/7740	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Jun%202024%2011:51:47%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	(from https://wisdom-ships.b12sites.com/index)
12:51:47	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:47%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.a.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:48	5480/5480	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Jun%202024%2011:51:47%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	(from https://wisdom-ships.b12sites.com/index)
12:51:48	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:48%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-600.c.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:49	7992/7992	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Jun%202024%2011:51:48%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	(from https://wisdom-ships.b12sites.com/index)
12:51:49	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:49%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.e.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:51	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Jun%202024%2011:51:51%20GMT	http://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-normal-700.10.delayed	(from https://wisdom-ships.b12sites.com/index)
12:51:51	5388/5388	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Jun%202024%2011:51:50%20GMT	https://wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	C:/My%20Web%20Sites/Wisdomships/wisdom-ships.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	(from https://wisdom-ships.b12sites.com/index)
